origin,dest,time
DOUGLAS,OAKLAND,988
DOUGLAS,FULLER PARK,1095
DOUGLAS,GRAND BOULEVARD,621
DOUGLAS,KENWOOD,1259
DOUGLAS,LINCOLN SQUARE,4333
DOUGLAS,WASHINGTON PARK,1141
DOUGLAS,HYDE PARK,1620
DOUGLAS,WOODLAWN,2656
DOUGLAS,ROGERS PARK,3929
DOUGLAS,JEFFERSON PARK,4455
DOUGLAS,FOREST GLEN,5710
DOUGLAS,NORTH PARK,4998
DOUGLAS,ALBANY PARK,4492
DOUGLAS,PORTAGE PARK,4915
DOUGLAS,IRVING PARK,3961
DOUGLAS,DUNNING,4672
DOUGLAS,MONTCLARE,4838
DOUGLAS,BELMONT CRAGIN,4064
DOUGLAS,WEST RIDGE,4468
DOUGLAS,HERMOSA,4344
DOUGLAS,AVONDALE,3514
DOUGLAS,LOGAN SQUARE,3408
DOUGLAS,HUMBOLDT PARK,4075
DOUGLAS,WEST TOWN,3271
DOUGLAS,AUSTIN,3945
DOUGLAS,WEST GARFIELD PARK,3341
DOUGLAS,EAST GARFIELD PARK,3340
DOUGLAS,NEAR WEST SIDE,2907
DOUGLAS,NORTH LAWNDALE,3424
DOUGLAS,UPTOWN,3365
DOUGLAS,SOUTH LAWNDALE,2647
DOUGLAS,LOWER WEST SIDE,1977
DOUGLAS,NEAR SOUTH SIDE,930
DOUGLAS,BRIDGEPORT,1682
DOUGLAS,NORWOOD PARK,4581
DOUGLAS,NEAR NORTH SIDE,1976
DOUGLAS,LOOP,1832
DOUGLAS,SOUTH SHORE,3030
DOUGLAS,CHATHAM,2495
DOUGLAS,AVALON PARK,2849
DOUGLAS,SOUTH CHICAGO,3855
DOUGLAS,BURNSIDE,3546
DOUGLAS,MCKINLEY PARK,1497
DOUGLAS,LAKE VIEW,2555
DOUGLAS,CALUMET HEIGHTS,3386
DOUGLAS,ROSELAND,2526
DOUGLAS,NORTH CENTER,3739
DOUGLAS,PULLMAN,3942
DOUGLAS,SOUTH DEERING,-1
DOUGLAS,EAST SIDE,3973
DOUGLAS,WEST PULLMAN,3803
DOUGLAS,RIVERDALE,-1
DOUGLAS,HEGEWISCH,-1
DOUGLAS,undefined,-1
DOUGLAS,ARCHER HEIGHTS,3553
DOUGLAS,BRIGHTON PARK,2772
DOUGLAS,BRIDGEPORT,1541
DOUGLAS,NEW CITY,1389
DOUGLAS,WEST ELSDON,3261
DOUGLAS,GAGE PARK,2746
DOUGLAS,CLEARING,3964
DOUGLAS,WEST LAWN,3761
DOUGLAS,CHICAGO LAWN,3134
DOUGLAS,WEST ENGLEWOOD,2613
DOUGLAS,ENGLEWOOD,2621
DOUGLAS,GREATER GRAND CROSSING,1693
DOUGLAS,LINCOLN PARK,2485
DOUGLAS,ASHBURN,3584
DOUGLAS,AUBURN GRESHAM,3310
DOUGLAS,BEVERLY,3385
DOUGLAS,WASHINGTON HEIGHTS,3044
DOUGLAS,MOUNT GREENWOOD,4998
DOUGLAS,MORGAN PARK,3211
DOUGLAS,OHARE,-1
DOUGLAS,EDGEWATER,3574
DOUGLAS,EDISON PARK,5468
OAKLAND,DOUGLAS,1072
OAKLAND,FULLER PARK,1693
OAKLAND,GRAND BOULEVARD,818
OAKLAND,KENWOOD,1877
OAKLAND,LINCOLN SQUARE,4890
OAKLAND,WASHINGTON PARK,1721
OAKLAND,HYDE PARK,1698
OAKLAND,WOODLAWN,2373
OAKLAND,ROGERS PARK,3958
OAKLAND,JEFFERSON PARK,4365
OAKLAND,FOREST GLEN,5140
OAKLAND,NORTH PARK,4428
OAKLAND,ALBANY PARK,4584
OAKLAND,PORTAGE PARK,4208
OAKLAND,IRVING PARK,3391
OAKLAND,DUNNING,4927
OAKLAND,MONTCLARE,5697
OAKLAND,BELMONT CRAGIN,4211
OAKLAND,WEST RIDGE,5485
OAKLAND,HERMOSA,3847
OAKLAND,AVONDALE,2944
OAKLAND,LOGAN SQUARE,2838
OAKLAND,HUMBOLDT PARK,4341
OAKLAND,WEST TOWN,2701
OAKLAND,AUSTIN,4078
OAKLAND,WEST GARFIELD PARK,3954
OAKLAND,EAST GARFIELD PARK,3100
OAKLAND,NEAR WEST SIDE,3856
OAKLAND,NORTH LAWNDALE,3856
OAKLAND,UPTOWN,3394
OAKLAND,SOUTH LAWNDALE,3079
OAKLAND,LOWER WEST SIDE,3490
OAKLAND,NEAR SOUTH SIDE,1751
OAKLAND,BRIDGEPORT,2275
OAKLAND,NORWOOD PARK,4011
OAKLAND,NEAR NORTH SIDE,2005
OAKLAND,LOOP,2422
OAKLAND,SOUTH SHORE,3108
OAKLAND,CHATHAM,3093
OAKLAND,AVALON PARK,2927
OAKLAND,SOUTH CHICAGO,3933
OAKLAND,BURNSIDE,3263
OAKLAND,MCKINLEY PARK,1929
OAKLAND,LAKE VIEW,2584
OAKLAND,CALUMET HEIGHTS,3859
OAKLAND,ROSELAND,2615
OAKLAND,NORTH CENTER,3468
OAKLAND,PULLMAN,3659
OAKLAND,SOUTH DEERING,-1
OAKLAND,EAST SIDE,4051
OAKLAND,WEST PULLMAN,4081
OAKLAND,RIVERDALE,-1
OAKLAND,HEGEWISCH,-1
OAKLAND,undefined,-1
OAKLAND,ARCHER HEIGHTS,3985
OAKLAND,BRIGHTON PARK,2587
OAKLAND,BRIDGEPORT,1973
OAKLAND,NEW CITY,2007
OAKLAND,WEST ELSDON,3816
OAKLAND,GAGE PARK,2824
OAKLAND,CLEARING,4817
OAKLAND,WEST LAWN,4182
OAKLAND,CHICAGO LAWN,3212
OAKLAND,WEST ENGLEWOOD,2548
OAKLAND,ENGLEWOOD,2503
OAKLAND,GREATER GRAND CROSSING,2233
OAKLAND,LINCOLN PARK,2514
OAKLAND,ASHBURN,3893
OAKLAND,AUBURN GRESHAM,3371
OAKLAND,BEVERLY,3834
OAKLAND,WASHINGTON HEIGHTS,3203
OAKLAND,MOUNT GREENWOOD,5389
OAKLAND,MORGAN PARK,3660
OAKLAND,OHARE,-1
OAKLAND,EDGEWATER,3603
OAKLAND,EDISON PARK,5170
FULLER PARK,DOUGLAS,1094
FULLER PARK,OAKLAND,1763
FULLER PARK,GRAND BOULEVARD,663
FULLER PARK,KENWOOD,828
FULLER PARK,LINCOLN SQUARE,3529
FULLER PARK,WASHINGTON PARK,1145
FULLER PARK,HYDE PARK,1289
FULLER PARK,WOODLAWN,1934
FULLER PARK,ROGERS PARK,3659
FULLER PARK,JEFFERSON PARK,3616
FULLER PARK,FOREST GLEN,4673
FULLER PARK,NORTH PARK,4009
FULLER PARK,ALBANY PARK,4225
FULLER PARK,PORTAGE PARK,3849
FULLER PARK,IRVING PARK,3872
FULLER PARK,DUNNING,4448
FULLER PARK,MONTCLARE,4185
FULLER PARK,BELMONT CRAGIN,3795
FULLER PARK,WEST RIDGE,4258
FULLER PARK,HERMOSA,3668
FULLER PARK,AVONDALE,2645
FULLER PARK,LOGAN SQUARE,2539
FULLER PARK,HUMBOLDT PARK,3086
FULLER PARK,WEST TOWN,2402
FULLER PARK,AUSTIN,3639
FULLER PARK,WEST GARFIELD PARK,2670
FULLER PARK,EAST GARFIELD PARK,2561
FULLER PARK,NEAR WEST SIDE,2128
FULLER PARK,NORTH LAWNDALE,3418
FULLER PARK,UPTOWN,3095
FULLER PARK,SOUTH LAWNDALE,3071
FULLER PARK,LOWER WEST SIDE,2582
FULLER PARK,NEAR SOUTH SIDE,2144
FULLER PARK,BRIDGEPORT,1775
FULLER PARK,NORWOOD PARK,3712
FULLER PARK,NEAR NORTH SIDE,1706
FULLER PARK,LOOP,1596
FULLER PARK,SOUTH SHORE,2408
FULLER PARK,CHATHAM,1668
FULLER PARK,AVALON PARK,1978
FULLER PARK,SOUTH CHICAGO,2854
FULLER PARK,BURNSIDE,2275
FULLER PARK,MCKINLEY PARK,1490
FULLER PARK,LAKE VIEW,2285
FULLER PARK,CALUMET HEIGHTS,2719
FULLER PARK,ROSELAND,1836
FULLER PARK,NORTH CENTER,2929
FULLER PARK,PULLMAN,2516
FULLER PARK,SOUTH DEERING,-1
FULLER PARK,EAST SIDE,3102
FULLER PARK,WEST PULLMAN,2994
FULLER PARK,RIVERDALE,-1
FULLER PARK,HEGEWISCH,-1
FULLER PARK,undefined,-1
FULLER PARK,ARCHER HEIGHTS,2077
FULLER PARK,BRIGHTON PARK,2128
FULLER PARK,BRIDGEPORT,1291
FULLER PARK,NEW CITY,429
FULLER PARK,WEST ELSDON,3077
FULLER PARK,GAGE PARK,1708
FULLER PARK,CLEARING,3466
FULLER PARK,WEST LAWN,3053
FULLER PARK,CHICAGO LAWN,2083
FULLER PARK,WEST ENGLEWOOD,1465
FULLER PARK,ENGLEWOOD,1252
FULLER PARK,GREATER GRAND CROSSING,1364
FULLER PARK,LINCOLN PARK,2215
FULLER PARK,ASHBURN,2894
FULLER PARK,AUBURN GRESHAM,2233
FULLER PARK,BEVERLY,2695
FULLER PARK,WASHINGTON HEIGHTS,2109
FULLER PARK,MOUNT GREENWOOD,4173
FULLER PARK,MORGAN PARK,2588
FULLER PARK,OHARE,-1
FULLER PARK,EDGEWATER,3304
